COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808265340	"RIPPA Mario"	"La Chimica di Rippa"		"versione blu"	"Volume unico PLUS per il secondo biennio con CD-ROM"	4320	512	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2011"
9788808327765	"SCRIBEDIT "	"Parole per viaggiare Italian for Tourists and Travellers"			"Volume unico"	1400	312	"110x160, 2012"
9788808086167	"MAGLIETTA Vittorio"	Puericultura	"Prenatale - neonatale - auxologia - alimentazione - pediatria preventiva - pediatria di comunità"	"Quarta edizione"	"Volume unico"	6050	490	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 1994"
9788808392442	"BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia"	"Chimica dappertutto"		"seconda edizione"	"Idee per imparare"	650	96	", , 197x265, 2020"
9788808920270	"BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia"	"Chimica dappertutto"		"seconda edizione"	"Volume unico"	1820	224	", , 230x285, 2020"
9788808436900	"SCHORE Neil E-VOLLHARDT Peter C"	"Esercizi risolti di chimica organica"			"Esercizi risolti di chimica organica"	5050	736	", , 170x240, 2016"
9788808180766	"JORIS Isabelle-MAJNO Guido"	"Cellule, tessuti e malattia"	"Principi di patologia generale"	"Seconda edizione"	"Volume unico"	14650	1024	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 225x285, 2009"
9788808821331	"CATTANA Anna-NESCI Maria Teresa"	"Italiano compatto"	"Dizionario della lingua italiana"	"Quarta edizione"	"Volume unico"	1990	960	", , 130x178, 2017"
9788808321145	"FERRAMOSCA Mirella"	"Regards croisés"	"À travers la culture française"		"Volume unico"	1900	216	", , 210x285, 2017"
9788808320346	"COLLI Giovanna"	Turismo.com	"Comunicazione e relazioni nel turismo contemporaneo"	"terza edizione"	"Volume unico"	2440	368	", Clitt editore. Distribuzione esclusiva Zanichelli, 197x285, 2020"
9788808063656	"DE MARIA Paolo"	"Percorsi di chimica organica"			"Volume unico con risorse digitali Scuolabook"	1950	232	"197x266, 2012"
9788808921055	"LUO Liqun"	"Principi di neurobiologia"			"Volume unico"	8100	720	"Revisione di R. De Caro. Traduzione di V. Parma, P. Sgadò, , 210x295, 2017"
9788808183569	"BELLOTTI Roberto-BRUNO Giuseppe-FLORIO Giuseppe-MANNA Norman"	"Esercizi di Fisica"	"Meccanica e Termodinamica"		"Volume unico"	2090	192	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 197x270, 2010"
9788808157676	"BOSELLINI Alfonso"	"Le scienze della Terra"			"Confezione Volume A con Laboratorio delle competenze"	1780	160	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x290, 2014"
9788808535092	"BOSELLINI Alfonso"	"Le scienze della Terra"			"Volume B"	1740	160	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2014"
9788808636751	"BOSELLINI Alfonso"	"Le scienze della Terra"			"Blocco C+D"	1890	176	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2014"
9788808735096	"BOSELLINI Alfonso"	"Le scienze della Terra"			"Volume C"	1100	90	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2014"
9788808935090	"BOSELLINI Alfonso"	"Le scienze della Terra"			"Volume D"	1010	80	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2014"
9788808689542	"BOCH Raoul-SALVIONI BOCH Carla"	"il Boch"		"Settima edizione"	"Versione DVD"	4990	0	"170 000 voci, 215 000 accezioni, , , 2020"
9788808762429	"BOCH Raoul-SALVIONI BOCH Carla"	"il Boch"		"Settima edizione"	"Versione Plus"	8550	2272	"170 000 voci, 215 000 accezioni, , 190x255, 2020"
9788808820648	"BOCH Raoul-SALVIONI BOCH Carla"	"il Boch"		"Settima edizione"	"Versione base"	6950	2272	"170 000 voci, 215 000 accezioni, , 180x255, 2020"
9788808018953	"SALSA Sandro-SQUELLATI Annamaria"	"Esercizi di analisi matematica II"			"Parte II"	2060	264	"155x215, 1993"
9788808018977	"SALSA Sandro-SQUELLATI Annamaria"	"Esercizi di analisi matematica II"			"Parte III"	2740	336	"150x210, 1993"
9788808092311	"SALSA Sandro-SQUELLATI Annamaria"	"Esercizi di analisi matematica II"			"Parte I"	1900	228	"150x210, 1993"
9788808058379	"SAMMARONE Sergio"	"Scienze e tecnologie applicate"			"Volume Meccanica"	1190	136	"230x285, 2011"
9788808128492	"SAMMARONE Sergio"	"Scienze e tecnologie applicate"			"Volume Costruzioni"	1140	128	"230x285, 2011"
9788808128515	"SAMMARONE Sergio"	"Scienze e tecnologie applicate"			"Volume Elettricità"	1140	128	"230x285, 2011"
9788808273604	"SAMMARONE Sergio"	"Scienze e tecnologie applicate"			"Tecnologia industriale"	1860	240	"230x285, 2011"
9788808661517	"LUNARI Marco"	"Tempo e civiltà"			"Volume 1"	2240	424	", , 210x285, 2018"
9788808857293	"LUNARI Marco"	"Tempo e civiltà"			"Volume 2"	2340	400	", , 210x285, 2018"
9788808037800	"CASPARI Claus-SCHAUER Thomas"	"Guida all'identificazione delle piante"			"Volume unico"	5750	464	"Trad. di A. Rambelli, 199 i., 145x215, 1987"
9788808184924	"MANZONI Edoardo"	"Le radici e le foglie"	"Una visione storico-epistemologica della disciplina infermieristica"	"Seconda edizione"	"Volume unico"	4440	544	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 2016"
9788808520524	"DONATI Chiara-STEFANI Massimo-TADDEI Niccolò"	"Biologia & Genetica"			"Volume unico"	2500	240	", , 197x266, 2019"
9788808183507	"KIEMLE David J.-SILVERSTEIN Robert M.-WEBSTER Francis X."	"Identificazione spettrometrica di composti organici"		"Terza edizione"	"Volume unico"	5800	480	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 210x280, 2016"
9788808421180	"BAN HAR Yeap-BERTONI Carlo-KENG SENG Teh-YEO Joseph"	Pensaci!			"Volume 1"	2750	608	", , 197x265, 2017"
9788808806567	"BAN HAR Yeap-BERTONI Carlo-KENG SENG Teh-YEO Joseph"	Pensaci!			"Volume 2"	2590	504	", , 197x265, 2017"
9788808184429	"MISEROCCHI Giuseppe"	"Testo atlante di fisiologia umana"	"Fisiologia e Fisiopatologia respiratoria"		"Volume unico"	3560	256	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 197x270, 2009"
9788808374783	"PHELAN Jay-PIGNOCCHINO Maria Cristina"	"Scopriamo le scienze della Terra"			"Volume unico"	2140	272	", , 230x285, 2018"
9788808121332	"SPIKIC Aleksandra"	"Croato compatto"	"Dizionario Croato-Italiano Italiano-Croato"	"Seconda edizione"	"Volume unico"	1700	504	", , 130x178, 2017"
9788808206022	"STEFANI Massimo-TADDEI Niccolò"	"Percorsi di biochimica"			"Volume unico con risorse digitali Scuolabook"	1950	232	"197x266, 2012"
9788808621009	"BARONCINI Valentina-MONTANARI Massimo"	"Negoziazione assistita"	"Decreto legge 12 settembre 2014, n. 132, convertito, con modifiche, in legge 10 novembre 2014, n. 162"		"Volume unico"	5990	320	"Misure urgenti di degiurisdizionalizzazione ed altri interventi per la definizione dell'arretrato in materia di processo civile art. 2-11, , 180x245, 2018"
9788808265500		"I procedimenti cautelari"	"con eBook. Diretta da Antonio Carratta"		"Volume unico + risorse digitali"	32400	1664	"180x245, 2013"
